id,parent_id,sort_order,name_en,name_ar,kind,stage,recurring,visual,depends_on,description_ar,notion_name,notion_page_id,active
del.website_research_analysis_report,off.website_building,110,Website Research & Analysis Report,تقرير بحث وتحليل الموقع,fixed,research,no,no,,تحليل الوضع الحالي والمنافسين واحتياجات المستخدم والفرص والمشاكل التي يجب أن يعالجها الموقع.,Website Research & Analysis Report,3daaf9a5-de1a-8124-a7ec-c3648f8c1342,yes
del.website_roadmap,off.website_building,120,Website Roadmap,خارطة طريق الموقع,fixed,plan,no,no,,خطة مرتبة لما سيتم بناؤه أو تطويره في الموقع، وأولويات التنفيذ والإصدارات المطلوبة.,Website Roadmap,3daaf9a5-de1a-817b-8530-c810226bf342,yes
del.website_building,off.website_building,130,Website Building,بناء الموقع,fixed,execution,no,yes,,تنفيذ الموقع طبقًا للـRoadmap المعتمدة، بما يشمل UX وUI والصفحات والوظائف المتفق عليها.,Website Building,3daaf9a5-de1a-8188-876d-f406dd15b11f,yes
del.website_monitoring_dashboard,off.website_building,140,Website Monitoring Dashboard,لوحة متابعة الموقع,fixed,monitoring,no,no,,لوحة متابعة حية لأهم مؤشرات أداء الموقع حسب أهداف ونطاق المشروع.,Website Monitoring Dashboard,3daaf9a5-de1a-819d-b769-d04d185ff6fd,yes
del.website_optimization_reports,off.website_building,150,Website Optimization Reports,تقارير تحسين الموقع,fixed,optimization,no,no,,تقارير دورية توضح ما تم ملاحظته في الأداء وما يُوصى بتحسينه أو تعديله.,Website Optimization Reports,3daaf9a5-de1a-81ae-910f-f55f4ce9b9f6,yes
del.seo_research_analysis_report,off.seo,160,SEO Research & Analysis Report,تقرير بحث وتحليل SEO,fixed,research,no,no,,تحليل وضع الموقع في البحث والكلمات والفرص والمنافسين والمشاكل التي تحد من الظهور.,SEO Research & Analysis Report,3daaf9a5-de1a-81ad-97eb-e94ac27a11f6,yes
del.seo_plan,off.seo,170,SEO Plan,خطة SEO,fixed,plan,no,no,,خطة تحدد الكلمات المستهدفة والصفحات والأولويات والإجراءات المطلوبة لتحسين الظهور.,SEO Plan,3daaf9a5-de1a-81d2-bbb1-dfccb2d8195e,yes
del.seo_implementation,off.seo,180,SEO Implementation,تنفيذ SEO,fixed,execution,yes,no,,تنفيذ التحسينات المعتمدة على الموقع والصفحات والعناصر الفنية المرتبطة بالبحث.,SEO Implementation,3daaf9a5-de1a-8129-bbaf-f5494a69c57c,yes
del.seo_monitoring_dashboard,off.seo,190,SEO Monitoring Dashboard,لوحة متابعة SEO,fixed,monitoring,no,no,,لوحة حية لمتابعة مؤشرات الظهور والزيارات والكلمات ونتائج البحث ذات الصلة.,SEO Monitoring Dashboard,3daaf9a5-de1a-81c6-a858-cc626d71ea8e,yes
del.seo_optimization_reports,off.seo,200,SEO Optimization Reports,تقارير تحسين SEO,fixed,optimization,no,no,,تقارير توضح النتائج والملاحظات وفرص التحسين التالية بناءً على الأداء الفعلي.,SEO Optimization Reports,3daaf9a5-de1a-8192-9f5b-dcadeaa17a5b,yes
del.google_ads_research_analysis_report,off.google_ads,210,Google Ads Research & Analysis Report,تقرير بحث وتحليل Google Ads,fixed,research,no,no,,تحليل السوق والجمهور والحساب والإعلانات السابقة والفرص المتاحة قبل بدء الحملات.,Google Ads Research & Analysis Report,3daaf9a5-de1a-8126-8016-d64a26f8d6fb,yes
del.google_ads_plan,off.google_ads,220,Google Ads Plan,خطة حملات Google Ads,fixed,plan,no,no,,خطة تحدد الأهداف والجمهور والميزانية والحملات والكلمات والاستراتيجية الإعلانية.,Google Ads Plan,3daaf9a5-de1a-8122-a82d-cdd87bb3aca5,yes
del.google_ads_campaign_execution,off.google_ads,230,Google Ads Campaign Execution,تنفيذ حملات Google Ads,fixed,execution,yes,yes,,بناء وإطلاق الحملات الإعلانية المعتمدة وتشغيلها فعليًا على Google.,Google Ads Campaign Execution,3daaf9a5-de1a-81da-9518-f9e86dc3fd76,yes
del.google_ads_monitoring_dashboard,off.google_ads,240,Google Ads Monitoring Dashboard,لوحة متابعة Google Ads,fixed,monitoring,no,no,,لوحة متابعة حية لأهم أرقام ونتائج حملات Google Ads.,Google Ads Monitoring Dashboard,3daaf9a5-de1a-8164-8994-ceb7dd7d342b,yes
del.google_ads_optimization_reports,off.google_ads,250,Google Ads Optimization Reports,تقارير تحسين Google Ads,fixed,optimization,no,no,,تقارير دورية توضح النتائج والتحسينات التي تم أو سيتم تنفيذها بناءً على البيانات.,Google Ads Optimization Reports,3daaf9a5-de1a-816a-ad42-ddd7693bc13b,yes
del.meta_ads_research_analysis_report,off.meta_ads,260,Meta Ads Research & Analysis Report,تقرير بحث وتحليل Meta Ads,fixed,research,no,no,,تحليل الحساب والجمهور والحملات السابقة والمنافسة والفرص قبل إطلاق الحملات الجديدة.,Meta Ads Research & Analysis Report,3daaf9a5-de1a-8108-8453-fa484bfdc80d,yes
del.meta_ads_plan,off.meta_ads,270,Meta Ads Plan,خطة حملات Meta Ads,fixed,plan,no,no,,خطة تحدد الأهداف والجمهور والميزانيات والحملات والـAd Sets والاتجاه الإعلاني.,Meta Ads Plan,3daaf9a5-de1a-814a-932c-fc24f28a68ae,yes
del.meta_ads_campaign_execution,off.meta_ads,280,Meta Ads Campaign Execution,تنفيذ حملات Meta Ads,fixed,execution,yes,yes,,بناء وإطلاق وتشغيل الحملات والإعلانات المعتمدة على Facebook وInstagram.,Meta Ads Campaign Execution,3daaf9a5-de1a-81fe-a487-ec18b17427fe,yes
del.meta_ads_monitoring_dashboard,off.meta_ads,290,Meta Ads Monitoring Dashboard,لوحة متابعة Meta Ads,fixed,monitoring,no,no,,لوحة متابعة حية لأهم مؤشرات ونتائج الحملات على Meta.,Meta Ads Monitoring Dashboard,3daaf9a5-de1a-8116-9dee-fa18f98f904e,yes
del.meta_ads_optimization_reports,off.meta_ads,300,Meta Ads Optimization Reports,تقارير تحسين Meta Ads,fixed,optimization,no,no,,تقارير دورية توضح نتائج الحملات وقرارات التحسين المبنية على الأداء الفعلي.,Meta Ads Optimization Reports,3daaf9a5-de1a-8180-80a1-fa8abfb434f7,yes
del.tiktok_ads_research_analysis_report,off.tiktok_ads,310,TikTok Ads Research & Analysis Report,تقرير بحث وتحليل TikTok Ads,fixed,research,no,no,,تحليل الجمهور والمنصة والحساب والمحتوى والفرص المتاحة قبل إطلاق الحملات.,TikTok Ads Research & Analysis Report,3daaf9a5-de1a-816b-a158-f54a4e501659,yes
del.tiktok_ads_plan,off.tiktok_ads,320,TikTok Ads Plan,خطة حملات TikTok Ads,fixed,plan,no,no,,خطة تحدد أهداف الحملات والجمهور والميزانية والهيكل الإعلاني المناسب للمنصة.,TikTok Ads Plan,3daaf9a5-de1a-811b-937a-ce5dfa633f89,yes
del.tiktok_ads_campaign_execution,off.tiktok_ads,330,TikTok Ads Campaign Execution,تنفيذ حملات TikTok Ads,fixed,execution,yes,yes,,بناء وإطلاق وتشغيل الحملات الإعلانية المعتمدة على TikTok.,TikTok Ads Campaign Execution,3daaf9a5-de1a-814f-aa8b-f757d0fe7220,yes
del.tiktok_ads_monitoring_dashboard,off.tiktok_ads,340,TikTok Ads Monitoring Dashboard,لوحة متابعة TikTok Ads,fixed,monitoring,no,no,,لوحة متابعة حية لأهم نتائج وأرقام حملات TikTok.,TikTok Ads Monitoring Dashboard,3daaf9a5-de1a-8107-9195-d30373f11080,yes
del.tiktok_ads_optimization_reports,off.tiktok_ads,350,TikTok Ads Optimization Reports,تقارير تحسين TikTok Ads,fixed,optimization,no,no,,تقارير دورية لنتائج الحملات والتحسينات المقترحة أو المنفذة بناءً على البيانات.,TikTok Ads Optimization Reports,3daaf9a5-de1a-819f-9043-c1f8f0501d50,yes
del.email_marketing_research_analysis_report,svc.email_marketing,360,Email Marketing Research & Analysis Report,تقرير بحث وتحليل التسويق بالإيميل,fixed,research,no,no,,تحليل القوائم والجمهور ورحلة العميل والتواصل الحالي والفرص المتاحة لاستخدام البريد الإلكتروني.,Email Marketing Research & Analysis Report,3daaf9a5-de1a-81d0-98a0-e9fe546fa0cf,yes
del.email_marketing_plan,svc.email_marketing,370,Email Marketing Plan,خطة التسويق بالإيميل,fixed,plan,no,no,,خطة تحدد الجمهور والرسائل وأنواع الإيميلات والتوقيت والأهداف ومؤشرات القياس.,Email Marketing Plan,3daaf9a5-de1a-812b-8ba3-e7a6ddaea997,yes
del.email_marketing_campaign_execution,svc.email_marketing,380,Email Marketing Campaign Execution,تنفيذ حملات الإيميل,fixed,execution,yes,yes,,إعداد ومراجعة وإطلاق حملات البريد الإلكتروني المتفق عليها.,Email Marketing Campaign Execution,3daaf9a5-de1a-810a-8d34-c51c12d26799,yes
del.email_marketing_monitoring_dashboard,svc.email_marketing,390,Email Marketing Monitoring Dashboard,لوحة متابعة التسويق بالإيميل,fixed,monitoring,no,no,,لوحة متابعة لنتائج الإرسال والتفاعل والنقر والتحويل ومؤشرات الأداء ذات الصلة.,Email Marketing Monitoring Dashboard,3daaf9a5-de1a-8112-8bbf-f8483ae0ea4c,yes
del.email_marketing_optimization_reports,svc.email_marketing,400,Email Marketing Optimization Reports,تقارير تحسين التسويق بالإيميل,fixed,optimization,no,no,,تقارير دورية توضح أداء الحملات وما يمكن تحسينه في الرسائل والتوقيت والجمهور والتكرار.,Email Marketing Optimization Reports,3daaf9a5-de1a-8152-8724-cbd333295bf5,yes
del.marketing_automation_research_analysis_report,svc.marketing_automation,410,Marketing Automation Research & Analysis Report,تقرير بحث وتحليل أتمتة التسويق,fixed,research,no,no,,تحليل رحلة العميل والعمليات المتكررة والأنظمة الحالية والفرص التي يمكن أتمتتها.,Marketing Automation Research & Analysis Report,3daaf9a5-de1a-81cc-9b24-f063fc35f9e4,yes
del.marketing_automation_plan,svc.marketing_automation,420,Marketing Automation Plan,خطة الأتمتة,fixed,plan,no,no,,تصميم منطق الأتمتة، بما يشمل الـTriggers والشروط والخطوات والأنظمة المطلوبة.,Marketing Automation Plan,3daaf9a5-de1a-814d-b40b-ea33ce87a80a,yes
del.implemented_marketing_automation_workflows,svc.marketing_automation,430,Implemented Marketing Automation Workflows,الـWorkflows المبنية والمفعّلة,fixed,execution,no,no,,الـWorkflows الفعلية التي تم بناؤها واختبارها وتشغيلها داخل الأنظمة المعتمدة.,Implemented Marketing Automation Workflows,3daaf9a5-de1a-8138-9b41-cee207c8e82e,yes
del.influencer_marketing_research_analysis_report,svc.influencer_marketing,440,Influencer Marketing Research & Analysis Report,تقرير بحث وتحليل تسويق المؤثرين,fixed,research,no,no,,تحليل السوق والمؤثرين والجمهور ومدى ملاءمتهم للبراند والهدف المطلوب.,Influencer Marketing Research & Analysis Report,3daaf9a5-de1a-819c-afee-dbb0596d327d,yes
del.influencer_marketing_plan,svc.influencer_marketing,450,Influencer Marketing Plan,خطة حملة المؤثرين,fixed,plan,no,no,,خطة تحدد نوع المؤثرين والاختيار والرسائل والمحتوى والميزانية والجدول ومؤشرات النجاح.,Influencer Marketing Plan,3daaf9a5-de1a-813e-986c-d95d5c5f49ac,yes
del.influencer_campaign_execution,svc.influencer_marketing,460,Influencer Campaign Execution,تنفيذ حملة المؤثرين,fixed,execution,no,yes,,إدارة وتنفيذ التعاون مع المؤثرين المختارين حتى خروج المحتوى أو النشاط المتفق عليه.,Influencer Campaign Execution,3daaf9a5-de1a-81bc-b9ac-c65ddc4e232f,yes
del.influencer_campaign_performance_report,svc.influencer_marketing,470,Influencer Campaign Performance Report,تقرير أداء حملة المؤثرين,fixed,report,no,no,,تقرير يوضح ما تم تنفيذه ونتائج المؤثرين والحملة وأهم الاستنتاجات والتوصيات.,Influencer Campaign Performance Report,3daaf9a5-de1a-8153-8ada-db18d1e6acc8,yes
del.media_production_research_analysis_report,svc.media_production,480,Media Production Research & Analysis Report,تقرير بحث وتحليل الإنتاج الفني,fixed,research,no,no,,تحليل الاحتياجات البصرية والأصول الحالية والقنوات والمراجع والفجوات المطلوب تغطيتها بالإنتاج.,Media Production Research & Analysis Report,3daaf9a5-de1a-81fd-8a0a-f8e8362ff6da,yes
del.media_production_plan,svc.media_production,490,Media Production Plan,خطة الإنتاج,fixed,plan,no,no,,خطة الإنتاج التي تحدد الفكرة والصيغ والـShot List والمراجع والمواقع والمشاركين والجدول والمخرجات المطلوبة.,Media Production Plan,3daaf9a5-de1a-813a-9cf8-f417e05fc733,yes
del.final_media_asset_batch,svc.media_production,500,Final Media Asset Batch,الدفعة النهائية من الأصول,fixed,execution,no,yes,,المجموعة النهائية المعتمدة من الصور أو الفيديوهات أو التصميمات أو الأصول الأخرى بالكميات والمواصفات المتفق عليها.,Final Media Asset Batch,3daaf9a5-de1a-8192-a787-c7c660e77ac0,yes
